arquivo,nome,descricao
imagens/01_assadeira_redonda.jpg,Assadeira redonda,"Forma redonda para bolos, tortas e receitas assadas."
imagens/02_assadeira_retangular.jpg,Assadeira retangular,"Forma retangular para bolos, carnes, massas e preparos no forno."
imagens/03_assadeira_pudim.jpg,Assadeira pudim,"Forma com furo central, ideal para pudins e bolos."
imagens/04_assadeira_pizza.jpg,Assadeira pizza,Forma própria para assar pizzas e massas.
imagens/05_boleira.jpg,Boleira,Suporte ou recipiente para armazenar e servir bolos.
imagens/06_bule_chaleira.jpg,Bule/Chaleira,"Utensílio para aquecer ou servir água, chá e café."
imagens/07_escorredor_de_louca.jpg,Escorredor de louça,"Item para organizar pratos, copos e talheres após a lavagem."
imagens/08_garrafa_de_cafe.jpg,Garrafa de café,Garrafa térmica para manter café ou bebidas quentes por mais tempo.
imagens/09_jarra.jpg,Jarra,"Recipiente para servir água, sucos ou outras bebidas."
imagens/10_jogo_americano.jpg,Jogo americano,Conjunto de peças individuais para compor a mesa de refeição.
imagens/11_jogo_de_copos.jpg,Jogo de copos,Conjunto de copos para uso diário ou ocasiões especiais.
imagens/12_jogo_de_jantar.jpg,Jogo de jantar,Conjunto completo com pratos e peças para servir refeições.
imagens/13_jogo_de_panela.jpg,Jogo de panela,Conjunto de panelas para preparo de diferentes tipos de comida.
imagens/14_jogo_de_pratos.jpg,Jogo de pratos,"Conjunto de pratos rasos, fundos ou de sobremesa."
imagens/15_jogo_de_sobremesa.jpg,Jogo de sobremesa,"Peças específicas para servir doces, bolos e sobremesas."
imagens/16_jogo_de_tacas.jpg,Jogo de taças,Conjunto de taças para bebidas diversas.
imagens/17_jogo_de_talheres.jpg,Jogo de talheres,Conjunto de garfos e colheres para refeições.
imagens/18_jogo_de_xicaras.jpg,Jogo de xícaras,"Conjunto de xícaras para café, chá ou outras bebidas quentes."
imagens/19_kit_de_canecoes.jpg,Kit de canecões,Conjunto de canecas grandes para uso diário.
imagens/20_kit_de_utensilios_de_cozinha.jpg,Kit de utensílios de cozinha,Conjunto de utensílios práticos para preparo de alimentos.
imagens/21_kit_frigideiras.jpg,Kit frigideiras,"Conjunto de frigideiras para frituras, grelhados e preparos rápidos."
imagens/22_kit_de_pia.jpg,Kit de pia,"Itens de apoio para pia, como lixeira, rodo, suporte e acessórios."
imagens/23_kit_de_talheres_utensilios.jpg,Kit de talheres/utensílios,"Utensílios de cozinha como concha, escumadeira, espátula e pegador."
imagens/24_marinex.jpg,Marinex,"Travessa de vidro refratário para assar, servir ou armazenar alimentos."
imagens/25_panela_de_pressao.jpg,Panela de pressão,"Panela para preparo mais rápido de carnes, feijão e outros alimentos."
imagens/26_panos_de_prato.jpg,Panos de prato,Panos para secar louças e auxiliar nas tarefas da cozinha.
imagens/27_panela_pipoqueira.jpg,Panela pipoqueira,Panela própria para preparar pipoca com mais praticidade.
imagens/28_porta_temperos.jpg,Porta temperos,Organizador para armazenar temperos de forma prática.
imagens/29_potes_de_mantimentos.jpg,"Potes de arroz, feijão etc.",Potes maiores para organizar mantimentos secos.
imagens/30_potes_hermeticos.jpg,Potes herméticos,Potes com vedação para conservar melhor os alimentos.
imagens/31_tabua_de_carne.jpg,Tábua de carne,Superfície para cortar e preparar alimentos.
imagens/32_tigelas_bowls.jpg,Tigelas/Bowls,"Recipientes para misturar, preparar ou servir alimentos."
imagens/33_aspirador.jpg,Aspirador,"Eletrodoméstico para limpeza de pisos, tapetes e ambientes."
imagens/34_batedeira.jpg,Batedeira,"Eletrodoméstico para bater massas, cremes e receitas doces."
imagens/35_ferro.jpg,Ferro,Aparelho para passar roupas e tecidos.
imagens/36_liquidificador.jpg,Liquidificador,"Eletrodoméstico para preparar sucos, vitaminas, massas e molhos."
imagens/37_mixer.jpg,Mixer,"Aparelho compacto para bater, misturar ou triturar alimentos."
imagens/38_multiprocessador.jpg,Multiprocessador,"Equipamento para cortar, triturar, fatiar e processar alimentos."
imagens/39_sanduicheira.jpg,Sanduicheira,Eletrodoméstico para preparar sanduíches e lanches quentes.
imagens/40_almofadas.jpg,Almofadas,"Itens decorativos e confortáveis para sofá, cama ou poltronas."
imagens/41_cortinas.jpg,Cortinas,Peças para decorar janelas e controlar entrada de luz.
imagens/42_edredom.jpg,Edredom,"Cobertor acolchoado para cama, ideal para dias frios."
imagens/43_lencol_e_fronha.jpg,Lençol e fronha,Conjunto de cama com lençol e capa para travesseiro.
imagens/44_passadeira.jpg,Passadeira,"Tapete comprido para corredor, cozinha ou área de passagem."
imagens/45_tapetes.jpg,Tapetes,Peças decorativas e funcionais para diferentes ambientes da casa.
imagens/46_tapetes_de_banheiro.jpg,Tapetes de banheiro,Conjunto de tapetes próprios para banheiro.
imagens/47_toalhas.jpg,Toalhas,Toalhas de banho ou rosto para uso diário.
imagens/48_toalha_de_mesa.jpg,Toalha de mesa,Peça para proteger e decorar a mesa.
imagens/49_toalha_de_rosto.jpg,Toalha de rosto,Toalha menor para banheiro ou lavabo.
imagens/50_travesseiros.jpg,Travesseiros,Itens para maior conforto durante o sono.
imagens/51_kit_de_banheiro.jpg,Kit de banheiro,Conjunto de acessórios para organizar pia e banheiro.
imagens/52_lixo_de_banheiro.jpg,Lixo de banheiro,Lixeira pequena própria para banheiro.
imagens/53_kit_de_ferramentas.jpg,Kit de ferramentas,Conjunto básico para pequenos reparos domésticos.
imagens/54_tabua_de_passar_roupa.jpg,Tábua de passar roupa,Suporte para passar roupas com mais praticidade.
imagens/55_bacias.jpg,Bacias,"Recipientes para limpeza, lavanderia ou organização."
imagens/56_baldes.jpg,Baldes,Itens para limpeza e uso doméstico geral.
imagens/57_mop.jpg,Mop,Acessório para limpeza prática de pisos.
