id,category,name,price,detail,purchase_link,image,sort_order,reserved_by_name,reserved_by_phone,confirmed_at
01,Cozinha,Jogo de panelas,,"Base para cozinhar arroz, feijao, molhos, legumes e refeicoes do dia a dia.",https://www.mercadolivre.com.br/p/MLB32466350?offer_type=BEST_PRICE&pdp_filters=item_id:MLB4053374163&matt_tool=38524122#origin=share&sid=share&wid=MLB4053374163&action=whatsapp,IMGS/produtos/1.jpeg,0,,,
02,Cozinha,Panela de pressao,,"Essencial para feijao, carnes, cozidos e preparo mais rapido.",https://www.mercadolivre.com.br/up/MLBU1987757783?offer_type=BEST_PRICE&pdp_filters=item_id:MLB4966648582&matt_tool=38524122#origin=share&sid=share&wid=MLB4966648582&action=whatsapp,IMGS/produtos/2.jpeg,1,,,
03,Cozinha,Frigideira antiaderente grande,,"Serve para ovos, carnes, legumes, tapioca, panquecas e lanches.",https://www.mercadolivre.com.br/frigideira-funda-antiaderente-24-cm-com-tampa-tramontina-cor-grafite/p/MLB44274771?pdp_filters=item_id%3AMLB4196692767&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB4196692767,IMGS/produtos/3.jpeg,2,,,
04,Cozinha,Assadeira retangular,,"Para forno: carnes, lasanha, legumes, bolos simples e gratinados.",https://www.mercadolivre.com.br/jogo-de-assadeiras-aluminio-2-pecas-tramontina-bolo-e-pudim/p/MLB27497694?pdp_filters=item_id%3AMLB3659308875&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB3659308875,IMGS/produtos/4.jpeg,3,,,
5,Cozinha,Potes,,Conjunto versatil para armazenar e organizar alimentos.,https://www.mercadolivre.com.br/kit-4-potes-vidro-1040ml-hermetico-marmita-forno-refratario/up/MLBU3534134664?pdp_filters=item_id%3AMLB4283700061&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB4283700061,IMGS/produtos/5.jpeg,4,,,
6,Cozinha,Travessa de vidro grande,,"Travessa ideal para forno, freezer e servir a mesa.",https://www.mercadolivre.com.br/kit-2-travessas-de-vidro-forno-freezer-marinex-pirex-grande/up/MLBU3544504490?pdp_filters=item_id%3AMLB5905336188&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB5905336188,IMGS/produtos/6.jpeg,5,,,
7,Cozinha,Potes hermeticos,,Otimos para manter mantimentos organizados e bem vedados.,https://www.mercadolivre.com.br/kit-10-organizadores-pote-hermetico-empilhavel-em-acrilico-cor-transparente/p/MLB68593211?pdp_filters=item_id%3AMLB4633860471&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB4633860471,IMGS/produtos/7.jpeg,6,,,
8,Mesa,Jogo de pratos,,Conjunto de pratos para o dia a dia e ocasioes especiais.,https://www.mercadolivre.com.br/jogo-6-pratos-rasos-grande-vidro-branco-25cm-restaurante/up/MLBU3503321287?pdp_filters=item_id%3AMLB5832115552&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB5832115552,IMGS/produtos/1.jpeg,7,,,
9,Mesa,Jogo de talheres,,Conjunto para servir as refeicoes do dia a dia.,https://www.mercadolivre.com.br/faqueiro-24-pecas-buzios-inox-23799071-tramontina-cor-cinza-claro/p/MLB36638741?pdp_filters=item_id%3AMLB5214565886&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB5214565886,IMGS/produtos/9.jpeg,8,,,
10,Mesa,Jogo de copos,,"Copos para agua, sucos e momentos especiais.",https://www.mercadolivre.com.br/jogo-6-copos-de-vidro-canelado-cameratta-agua-suco-420ml/up/MLBU3216811619?pdp_filters=item_id%3AMLB4085176731&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB4085176731,IMGS/produtos/10.jpeg,9,,,
11,Mesa,Xicaras,,Jogo para cafe e cha no dia a dia.,https://www.mercadolivre.com.br/jogo-de-xicara-com-pires-6-pecas-brasiliano-vidro-cafe-cha/up/MLBU3563750460?pdp_filters=item_id%3AMLB5933197116&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB5933197116,IMGS/produtos/11.jpeg,10,,,
12,Mesa,Garrafa termica,,Ideal para manter cafe e bebidas na temperatura certa.,https://www.mercadolivre.com.br/garrafa-termica-lumina-9751-termolar-1-litro-aco-inox/p/MLB29554584?pdp_filters=item_id%3AMLB5361809522&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB5361809522,IMGS/produtos/12.jpeg,11,,,
13,Mesa,Jarra,,"Jarra para agua, sucos e outras bebidas.",https://www.mercadolivre.com.br/jarra-de-vidro-tampa-higienica-inox-1-litro-borossilicato/up/MLBU3827967757?pdp_filters=item_id%3AMLB4516227995&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB4516227995,IMGS/produtos/13.jpeg,12,,,
14,Eletro,Liquidificador,,"Para vitaminas, sucos, molhos e receitas da casa.",https://www.mercadolivre.com.br/liquidificador-com-15-velocidades-oster-de-1400w-potente/up/MLBU2142765421?pdp_filters=item_id%3AMLB4543427767&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB4543427767,IMGS/produtos/14.jpeg,13,,,
15,Eletro,Sanduicheira ou grill,,"Pratica para lanches, grelhados e refeicoes rapidas.",https://www.mercadolivre.com.br/sanduicheira-e-grill-pgr21pi-maxx-clean-1000w-philco-prateado/p/MLB28017294?pdp_filters=item_id%3AMLB3509498657&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB3509498657,IMGS/produtos/15.jpeg,14,,,
